100;354727.38;6470017.85;2709.4;
101;354708.18;6470100.11;3156.4;
102;354711.6;6470085.5;2792.8;
103;354719.52;6470051.42;2895.0;
103ST2;354719.52;6470051.42;2888.4;
104;354722.71;6470037.8;3110.0;
105;354710.46;6470090.37;3094.4;
106;354698.63;6470140.99;3133.4;
107;354693.18;6470164.36;3268.2;
108;354697.04;6470147.81;3493.6;
109;354694.77;6470157.54;3310.8;
110PL;354696.19;6470152.75;3250.0;
111;354690.22;6470177.04;3391.8;
112;354713.84;6470075.77;3090.0;
113;354712.7;6470080.63;3160.2;
114;354723.85;6470032.93;2805.2;
116;354718.38;6470056.29;2935.0;
117;354726.24;6470022.72;3047.4;
117ST2;354726.24;6470022.72;3387.0;
120;354421.69;6468404.25;3335.2;
121;354433.25;6468384.38;3067.0;
122;354437.76;6468376.61;2941.0;
123PL;354699.77;6470136.12;3330.0;
124PL;354721.57;6470042.67;3062.8;
125PL;354717.25;6470061.16;3140.8;
126;354424.2;6468399.93;3244.0;
127;354455.84;6468345.5;3144.6;
128PL;354707.05;6470104.97;3100.0;
129;354451.32;6468353.27;3207.4;
130;354446.8;6468361.05;3091.6;
133;354464.88;6468329.95;2989.6;
134;354478.44;6468306.61;2960.0;
135;354460.36;6468337.72;2953.0;
136;354501.53;6468266.87;2905.0;
137;354473.92;6468314.39;2843.0;
138;354482.96;6468298.84;2769.4;
139;354487.48;6468291.06;2749.0;
140;354442.28;6468368.83;2938.6;
141;354528.65;6468220.21;3110.0;
142;354492.0;6468283.28;2752.0;
143;354524.13;6468227.98;2916.0;
144;354496.52;6468275.51;2848.2;
145;354546.68;6468189.1;2988.0;
146;354551.2;6468181.32;3386.0;
147;351397.45;6464385.08;3121.4;
149;354419.19;6468408.57;3324.2;
150;351403.29;6464391.91;3000.4;
153;349874.61;6463927.23;2969.0;
153ST2;349874.61;6463927.23;2853.8;
154;349853.51;6463868.97;3483.8;
155;349850.11;6463859.57;3396.8;
156;349872.91;6463922.53;3064.2;
157;349851.81;6463864.27;3191.4;
158;349856.91;6463878.36;3241.0;
159;349869.52;6463913.13;3048.8;
160;349855.21;6463873.67;3312.4;
161;349871.21;6463917.77;3004.8;
162;349867.82;6463908.43;3238.4;
166;353768.29;6464102.65;3431.0;
167;352509.51;6466813.2;2798.4;
168;352510.23;6466885.16;3249.4;
169;353782.76;6464088.87;2888.4;
170;353816.05;6464057.13;3266.8;
171;353771.9;6464099.2;3080.0;
172;353779.14;6464092.3;2758.6;
173;353808.09;6464064.72;3561.8;
174;353811.7;6464061.27;3051.6;
175;352510.05;6466867.18;3276.8;
176;353910.36;6463969.6;2767.6;
177;352509.33;6466795.21;2731.6;
178;353775.52;6464095.75;2754.6;
179;352509.14;6466777.21;3075.8;
183;353830.52;6464043.34;2867.8;
184;353888.47;6463990.11;3536.0;
186;353851.33;6464024.94;2980.0;
187;353870.23;6464007.09;2866.4;
188;353826.9;6464046.78;3048.0;
189;353862.93;6464013.93;3108.0;
190;353789.99;6464081.97;2748.0;
192;353903.06;6463976.44;2782.8;
193;353866.57;6464010.51;3393.0;
194;353823.28;6464050.23;2892.4;
195;353873.87;6464003.67;3339.8;
196;353786.38;6464085.43;3108.0;
197;353854.94;6464021.49;3057.0;
198;353819.66;6464053.68;3320.4;
199;353793.61;6464078.52;3060.2;
200;353804.47;6464068.17;3349.0;
201;353877.52;6464000.25;3379.6;
202;353859.28;6464017.35;3199.0;
203;352508.96;6466759.23;2947.4;
204;352509.69;6466831.19;2907.6;
205;352508.6;6466723.24;2886.0;
206;353895.76;6463983.28;3530.8;
207;353906.71;6463973.02;3082.6;
213;353899.42;6463979.86;3559.8;
215;353892.12;6463986.69;3303.8;
215ST2;353892.12;6463986.69;3476.6;
222;352509.87;6466849.19;3367.8;
229;349836.66;6463824.11;3119.8;
230;349819.83;6463778.1;3449.0;
231;349822.23;6463784.67;3220.8;
232;349840.1;6463833.51;3411.0;
233;349843.19;6463841.96;3491.4;
238;349838.38;6463828.81;3628.8;
239;349834.94;6463819.42;3566.4;
240;349831.5;6463810.03;3550.4;
241;349833.22;6463814.72;2883.2;
242;349818.12;6463773.4;3042.8;
243;349816.06;6463767.78;3325.0;
244;349773.2;6463650.64;3603.4;
245;349812.97;6463759.34;3227.6;
246;349776.29;6463659.09;3258.8;
247;349768.39;6463637.49;3583.0;
248;349774.57;6463654.39;3008.0;
295R;352838.89;6466452.38;2662.8;
296R;355639.76;6476273.45;2736.6;
297R;356037.61;6464308.24;2659.0;
298R;349250.32;6465037.95;2697.8;
299R;355538.81;6470982.57;2668.8;
2R;356766.35;6469499.79;2699.6;
300;354499.02;6468271.19;2686.4;
300R;358305.7;6471161.5;2676.0;
301R;352744.92;6466956.18;2738.2;
302;354600.92;6468095.78;3393.8;
303;354555.71;6468173.54;3188.0;
304;354587.35;6468119.1;3290.6;
305;354569.27;6468150.22;3444.4;
306;354591.81;6468111.42;3157.2;
307;352508.25;6467493.69;2871.4;
308;354564.76;6468158.0;3389.8;
309;354519.61;6468235.76;2715.0;
310;352508.25;6467448.71;2753.0;
311;352508.25;6467475.69;2746.0;
312;352508.25;6467466.7;2843.4;
313;354542.16;6468196.88;2745.2;
314;352508.25;6467412.72;2694.6;
315;352508.25;6467385.73;2667.5;
316;352508.25;6467439.71;2858.0;
317;352508.25;6467421.71;3067.2;
318;354628.05;6468049.12;2770.0;
319;352508.25;6467331.82;2838.2;
320;352508.25;6467304.77;2705.2;
321;352508.25;6467394.73;2882.0;
322;352508.25;6467223.8;3028.4;
