100;354727.38;6470017.85;2725.3999999999996;
101;354708.18;6470100.11;3172.0;
102;354711.6;6470085.5;2806.6;
103;354719.52;6470051.42;2911.6;
103ST2;354719.52;6470051.42;2908.6;
104;354722.71;6470037.8;3126.4;
105;354710.46;6470090.37;3111.8;
106;354698.63;6470140.99;3152.0;
107;354693.18;6470164.36;3285.0;
108;354697.04;6470147.81;3511.0;
109;354694.77;6470157.54;3327.0;
110PL;354696.19;6470152.75;3271.6;
111;354690.22;6470177.04;3410.7999999999997;
112;354713.84;6470075.77;3102.3999999999996;
113;354712.7;6470080.63;3174.6;
114;354723.85;6470032.93;2817.4;
116;354718.38;6470056.29;2949.4;
117;354726.24;6470022.72;3067.0;
117ST2;354726.24;6470022.72;3407.8;
120;354421.69;6468404.25;3351.6000000000004;
121;354433.25;6468384.38;3089.8;
122;354437.76;6468376.61;2967.8;
123PL;354699.77;6470136.12;3377.6;
124PL;354721.57;6470042.67;3079.2;
125PL;354717.25;6470061.16;3157.0;
126;354424.2;6468399.93;3270.0;
127;354455.84;6468345.5;3170.8;
128PL;354707.05;6470104.97;3124.6;
129;354451.32;6468353.27;3231.6;
130;354446.8;6468361.05;3110.0;
133;354464.88;6468329.95;3014.2000000000003;
134;354478.44;6468306.61;2978.6;
135;354460.36;6468337.72;2976.0;
136;354501.53;6468266.87;2922.4;
137;354473.92;6468314.39;2870.0;
138;354482.96;6468298.84;2792.6;
139;354487.48;6468291.06;2772.0;
140;354442.28;6468368.83;2955.0;
141;354528.65;6468220.21;3127.0;
142;354492.0;6468283.28;2777.2;
143;354524.13;6468227.98;2935.2;
144;354496.52;6468275.51;2859.4;
145;354546.68;6468189.1;3004.0;
146;354551.2;6468181.32;3402.0;
147;351397.45;6464385.08;3144.6000000000004;
149;354419.19;6468408.57;3347.0;
150;351403.29;6464391.91;3020.3999999999996;
153;349874.61;6463927.23;2991.8;
153ST2;349874.61;6463927.23;2880.8;
154;349853.51;6463868.97;3510.4;
155;349850.11;6463859.57;3425.3999999999996;
156;349872.91;6463922.53;3085.7999999999997;
157;349851.81;6463864.27;3214.3999999999996;
158;349856.91;6463878.36;3269.2;
159;349869.52;6463913.13;3077.0;
160;349855.21;6463873.67;3341.4;
161;349871.21;6463917.77;3033.4;
162;349867.82;6463908.43;3267.0;
166;353768.29;6464102.65;3448.0;
167;352509.51;6466813.2;2812.2;
168;352510.23;6466885.16;3265.0;
169;353782.76;6464088.87;2912.6;
170;353816.05;6464057.13;3287.2;
171;353771.9;6464099.2;3110.2000000000003;
172;353779.14;6464092.3;2782.0;
173;353808.09;6464064.72;3590.0;
174;353811.7;6464061.27;3071.0;
175;352510.05;6466867.18;3293.8;
176;353910.36;6463969.6;2789.6;
177;352509.33;6466795.21;2748.0;
178;353775.52;6464095.75;2780.7999999999997;
179;352509.14;6466777.21;3091.8;
183;353830.52;6464043.34;2893.0;
184;353888.47;6463990.11;3552.6;
186;353851.33;6464024.94;2999.7999999999997;
187;353870.23;6464007.09;2886.4;
188;353826.9;6464046.78;3066.4;
189;353862.93;6464013.93;3133.0;
190;353789.99;6464081.97;2762.8;
192;353903.06;6463976.44;2800.2000000000003;
193;353866.57;6464010.51;3411.2000000000003;
194;353823.28;6464050.23;2911.0;
195;353873.87;6464003.67;3359.6;
196;353786.38;6464085.43;3123.0;
197;353854.94;6464021.49;3075.0;
198;353819.66;6464053.68;3342.0;
199;353793.61;6464078.52;3079.3999999999996;
200;353804.47;6464068.17;3370.4;
201;353877.52;6464000.25;3401.4;
202;353859.28;6464017.35;3219.6000000000004;
203;352508.96;6466759.23;2962.6;
204;352509.69;6466831.19;2923.4;
205;352508.6;6466723.24;2896.8;
206;353895.76;6463983.28;3546.6;
207;353906.71;6463973.02;3106.2;
213;353899.42;6463979.86;3577.0;
215;353892.12;6463986.69;3325.6000000000004;
215ST2;353892.12;6463986.69;3498.0;
222;352509.87;6466849.19;3378.0;
229;349836.66;6463824.11;3146.4;
230;349819.83;6463778.1;3469.6000000000004;
231;349822.23;6463784.67;3242.4;
232;349840.1;6463833.51;3438.0;
233;349843.19;6463841.96;3515.0;
238;349838.38;6463828.81;3644.2;
239;349834.94;6463819.42;3593.8;
240;349831.5;6463810.03;3576.8;
241;349833.22;6463814.72;2905.0;
242;349818.12;6463773.4;3064.8;
243;349816.06;6463767.78;3344.0;
244;349773.2;6463650.64;3626.0;
245;349812.97;6463759.34;3244.4;
246;349776.29;6463659.09;3279.7999999999997;
247;349768.39;6463637.49;3601.6;
248;349774.57;6463654.39;3038.4;
295R;352838.89;6466452.38;2677.6;
296R;355639.76;6476273.45;2756.6;
297R;356037.61;6464308.24;2688.4;
298R;349250.32;6465037.95;2711.0;
299R;355538.81;6470982.57;2687.6000000000004;
2R;356766.35;6469499.79;2715.0;
300;354499.02;6468271.19;2708.7999999999997;
300R;358305.7;6471161.5;2692.6;
301R;352744.92;6466956.18;2751.6;
302;354600.92;6468095.78;3410.0;
303;354555.71;6468173.54;3211.4;
304;354587.35;6468119.1;3308.4;
305;354569.27;6468150.22;3449.7999999999997;
306;354591.81;6468111.42;3170.0;
307;352508.25;6467493.69;2887.0;
308;354564.76;6468158.0;3414.0;
309;354519.61;6468235.76;2732.2;
310;352508.25;6467448.71;2769.0;
311;352508.25;6467475.69;2761.7999999999997;
312;352508.25;6467466.7;2859.0;
313;354542.16;6468196.88;2762.2;
314;352508.25;6467412.72;2712.0;
315;352508.25;6467385.73;2683.6000000000004;
316;352508.25;6467439.71;2876.2000000000003;
317;352508.25;6467421.71;3084.4;
