Скважина;Пласт РИГИС;Пластпропласт;Глубина кровли пласта;Толщина;Абсолютная глубина;Абсолютная толщина;Литология;Коллектор
202;Ю1-3-4;Ю1-3-4;3 205.60;1.80;2 597.31;1.78;SAND_UPLOT;да
245;Ю1-3-4;Ю1-3-4;3 243.80;0.60;2 597.31;0.59;SAND_GL;да
144;Ю1-3-4;Ю1-3-4;2 856.20;0.60;2 597.36;0.60;ALEVROLIT;да
157;Ю1-3-4;Ю1-3-4;3 209.40;2.00;2 597.37;1.94;SAND;да
644;Ю1-3-4;Ю1-3-4;2 761.60;0.40;2 597.38;0.40;ARGILLIT;нет
232;Ю1-3-4;Ю1-3-4;3 427.80;0.80;2 597.39;0.79;SAND_GL;да
233;Ю1-3-4;Ю1-3-4;3 491.40;0.40;2 597.40;0.39;SAND_GL;да
345;Ю1-3-4;Ю1-3-4;3 123.80;1.40;2 597.43;1.38;SAND_GL;да
243;Ю1-3-4;Ю1-3-4;3 342.40;1.60;2 597.44;1.57;SAND_GL;да
329;Ю1-3-4;Ю1-3-4;3 173.00;1.20;2 597.44;1.18;ALEVROLIT;да
155;Ю1-3-4;Ю1-3-4;3 409.40;0.60;2 597.48;0.58;ARGILLIT;нет
206;Ю1-3-4;Ю1-3-4;3 541.40;0.80;2 597.51;0.79;SAND_GL;да
166;Ю1-3-4;Ю1-3-4;3 442.00;0.80;2 597.53;0.78;ARGILLIT;нет
231;Ю1-3-4;Ю1-3-4;3 222.80;0.80;2 597.55;0.76;ALEVROLIT;да
455;Ю1-3-4;Ю1-3-4;2 964.00;1.80;2 597.56;1.78;SAND;да
173;Ю1-3-4;Ю1-3-4;3 573.60;0.40;2 597.61;0.39;DENSE;нет
215ST2;Ю1-3-4;Ю1-3-4;3 485.60;0.80;2 597.65;0.79;SAND_UPLOT;да
603;Ю1-3-4;Ю1-3-4;3 476.80;1.00;2 597.67;0.99;ALEVROLIT;да
121;Ю1-3-4;Ю1-3-4;3 079.80;0.40;2 597.68;0.40;ALEVROLIT;да
248;Ю1-3-4;Ю1-3-4;3 019.60;0.60;2 597.68;0.59;ALEVROLIT;да
428;Ю1-3-4;Ю1-3-4;3 013.60;0.40;2 597.69;0.40;SAND_GL;да
140;Ю1-3-4;Ю1-3-4;2 951.80;0.60;2 597.71;0.60;DENSE;нет
213;Ю1-3-4;Ю1-3-4;3 562.80;0.80;2 597.75;0.78;ALEVROLIT;да
122;Ю1-3-4;Ю1-3-4;2 956.80;7.60;2 597.76;7.56;ARGILLIT;нет
644;Ю1-3-4;Ю1-3-4;2 762.00;1.40;2 597.78;1.40;SAND_UPLOT;да
233;Ю1-3-4;Ю1-3-4;3 491.80;0.60;2 597.79;0.58;ALEVROLIT;да
298R;Ю1-3-4;Ю1-3-4;2 699.80;0.60;2 597.80;0.60;DENSE;нет
2R;Ю1-3-4;Ю1-3-4;2 714.00;0.40;2 597.81;0.40;SAND_GL;да
600ST2;Ю1-3-4;Ю1-3-4;3 567.20;0.40;2 597.87;0.39;ALEVROLIT;да
200;Ю1-3-4;Ю1-3-4;3 363.20;1.80;2 597.88;1.75;SAND_GL;да
241;Ю1-3-4;Ю1-3-4;2 899.00;1.40;2 597.92;1.32;ARGILLIT;нет
144;Ю1-3-4;Ю1-3-4;2 856.80;0.60;2 597.96;0.60;DENSE;нет
173;Ю1-3-4;Ю1-3-4;3 574.00;0.80;2 598.00;0.78;SAND_GL;да
198;Ю1-3-4;Ю1-3-4;3 341.60;0.40;2 598.03;0.37;ARGILLIT;нет
155;Ю1-3-4;Ю1-3-4;3 410.00;1.00;2 598.06;0.97;DENSE;нет
207;Ю1-3-4;Ю1-3-4;3 097.60;1.00;2 598.06;0.99;ALEVROLIT;да
121;Ю1-3-4;Ю1-3-4;3 080.20;5.60;2 598.08;5.49;ARGILLIT;нет
428;Ю1-3-4;Ю1-3-4;3 014.00;0.40;2 598.09;0.40;ALEVROLIT;да
433;Ю1-3-4;Ю1-3-4;2 869.60;1.20;2 598.16;1.20;DENSE;нет
232;Ю1-3-4;Ю1-3-4;3 428.60;0.40;2 598.18;0.40;SAND_GL;да
2R;Ю1-3-4;Ю1-3-4;2 714.40;0.60;2 598.21;0.60;SAND_ALEV;да
600ST2;Ю1-3-4;Ю1-3-4;3 567.60;1.00;2 598.26;0.97;SAND;да
248;Ю1-3-4;Ю1-3-4;3 020.20;1.20;2 598.27;1.17;DENSE;нет
362;Ю1-3-4;Ю1-3-4;3 019.20;1.40;2 598.27;1.40;ARGILLIT;нет
325;Ю1-3-4;Ю1-3-4;2 997.40;2.40;2 598.29;2.36;ARGILLIT;нет
206;Ю1-3-4;Ю1-3-4;3 542.20;1.00;2 598.30;0.99;DENSE;нет
140;Ю1-3-4;Ю1-3-4;2 952.40;0.80;2 598.31;0.80;SAND_GL;да
166;Ю1-3-4;Ю1-3-4;3 442.80;1.40;2 598.31;1.38;ARGILLIT;нет
231;Ю1-3-4;Ю1-3-4;3 223.60;7.80;2 598.31;7.40;SAND_GL;да
