Скважина;Пласт РИГИС;Пластпропласт;Глубина кровли пласта;Толщина;Абсолютная глубина;Абсолютная толщина;Литология;Коллектор
334;Ю1-3-4;Ю1-3-4;2 748.60;1.00;2 530.41;1.00;ALEVROLIT;да
334;Ю1-3-4;Ю1-3-4;2 749.60;1.20;2 531.41;1.20;SAND;да
334;Ю1-3-4;Ю1-3-4;2 750.80;0.40;2 532.61;0.40;SAND_GL;да
358;Ю1-3-4;Ю1-3-4;2 677.60;0.60;2 532.72;0.60;ALEVROLIT;да
334;Ю1-3-4;Ю1-3-4;2 751.20;0.40;2 533.01;0.40;ALEVROLIT;да
358;Ю1-3-4;Ю1-3-4;2 678.20;1.00;2 533.32;0.99;SAND_GL;да
334;Ю1-3-4;Ю1-3-4;2 751.60;1.00;2 533.41;1.00;SAND;да
342;Ю1-3-4;Ю1-3-4;2 656.60;0.80;2 534.24;0.80;ALEVROLIT;да
358;Ю1-3-4;Ю1-3-4;2 679.20;0.60;2 534.31;0.60;ALEVROLIT;да
188;Ю1-3-4;Ю1-3-4;3 048.00;0.40;2 534.34;0.39;SAND_GL;да
334;Ю1-3-4;Ю1-3-4;2 752.60;0.60;2 534.41;0.60;SAND_GL;да
188;Ю1-3-4;Ю1-3-4;3 048.40;0.40;2 534.73;0.39;ALEVROLIT;да
105;Ю1-3-4;Ю1-3-4;3 094.40;0.80;2 534.84;0.78;ALEVROLIT;да
358;Ю1-3-4;Ю1-3-4;2 679.80;0.80;2 534.91;0.80;ALEVROLIT;да
334;Ю1-3-4;Ю1-3-4;2 753.20;1.20;2 535.01;1.20;ARGILLIT;нет
342;Ю1-3-4;Ю1-3-4;2 657.40;0.80;2 535.04;0.80;SAND_GL;да
188;Ю1-3-4;Ю1-3-4;3 048.80;0.40;2 535.12;0.39;SAND_GL;да
188;Ю1-3-4;Ю1-3-4;3 049.20;1.60;2 535.51;1.58;SAND;да
105;Ю1-3-4;Ю1-3-4;3 095.20;1.20;2 535.62;1.18;SAND_GL;да
358;Ю1-3-4;Ю1-3-4;2 680.60;0.40;2 535.71;0.40;ALEVROLIT;да
342;Ю1-3-4;Ю1-3-4;2 658.20;0.80;2 535.84;0.80;ALEVROLIT;да
358;Ю1-3-4;Ю1-3-4;2 681.00;0.60;2 536.11;0.59;SAND;да
334;Ю1-3-4;Ю1-3-4;2 754.40;1.20;2 536.21;1.19;SAND_GL;да
341;Ю1-3-4;Ю1-3-4;2 703.00;0.60;2 536.41;0.60;ALEVROLIT;да
342;Ю1-3-4;Ю1-3-4;2 659.00;1.20;2 536.64;1.20;SAND;да
358;Ю1-3-4;Ю1-3-4;2 681.60;0.40;2 536.70;0.40;COAL;нет
105;Ю1-3-4;Ю1-3-4;3 096.40;1.00;2 536.80;0.97;ALEVROLIT;да
341;Ю1-3-4;Ю1-3-4;2 703.60;0.80;2 537.01;0.80;SAND;да
188;Ю1-3-4;Ю1-3-4;3 050.80;1.20;2 537.09;1.18;ALEVROLIT;да
358;Ю1-3-4;Ю1-3-4;2 682.00;4.40;2 537.10;4.38;SAND;да
334;Ю1-3-4;Ю1-3-4;2 755.60;0.80;2 537.40;0.80;ALEVROLIT;да
105;Ю1-3-4;Ю1-3-4;3 097.40;1.00;2 537.77;0.98;SAND_GL;да
341;Ю1-3-4;Ю1-3-4;2 704.40;1.00;2 537.81;0.99;ALEVROLIT;да
342;Ю1-3-4;Ю1-3-4;2 660.20;0.40;2 537.84;0.40;SAND_GL;да
350;Ю1-3-4;Ю1-3-4;2 749.60;0.40;2 537.86;0.40;SAND;да
334;Ю1-3-4;Ю1-3-4;2 756.40;0.40;2 538.20;0.40;ARGILLIT;нет
342;Ю1-3-4;Ю1-3-4;2 660.60;0.40;2 538.24;0.40;ALEVROLIT;да
350;Ю1-3-4;Ю1-3-4;2 750.00;0.60;2 538.26;0.60;SAND_UPLOT;да
188;Ю1-3-4;Ю1-3-4;3 052.00;1.20;2 538.27;1.18;SAND_GL;да
309;Ю1-3-4;Ю1-3-4;2 715.00;2.40;2 538.31;2.39;SAND;да
334;Ю1-3-4;Ю1-3-4;2 756.80;0.60;2 538.60;0.60;ALEVROLIT;да
342;Ю1-3-4;Ю1-3-4;2 661.00;1.40;2 538.64;1.40;SAND;да
105;Ю1-3-4;Ю1-3-4;3 098.40;0.60;2 538.75;0.59;SAND_GL;да
341;Ю1-3-4;Ю1-3-4;2 705.40;0.80;2 538.80;0.80;SAND_GL;да
350;Ю1-3-4;Ю1-3-4;2 750.60;0.80;2 538.86;0.79;SAND;да
334;Ю1-3-4;Ю1-3-4;2 757.40;1.00;2 539.20;1.00;ARGILLIT;нет
105;Ю1-3-4;Ю1-3-4;3 099.00;0.60;2 539.34;0.59;ALEVROLIT;да
188;Ю1-3-4;Ю1-3-4;3 053.20;1.40;2 539.45;1.37;SAND;да
341;Ю1-3-4;Ю1-3-4;2 706.20;0.40;2 539.60;0.40;ALEVROLIT;да
350;Ю1-3-4;Ю1-3-4;2 751.40;0.60;2 539.65;0.60;DENSE;нет
105;Ю1-3-4;Ю1-3-4;3 099.60;1.80;2 539.93;1.76;SAND;да
128PL;Ю1-3-4;Ю1-3-4;3 100.00;0.80;2 539.97;0.49;SAND_GL;да
341;Ю1-3-4;Ю1-3-4;2 706.60;0.80;2 540.00;0.80;SAND;да
342;Ю1-3-4;Ю1-3-4;2 662.40;1.00;2 540.04;1.00;SAND;да
334;Ю1-3-4;Ю1-3-4;2 758.40;1.00;2 540.20;1.00;SAND_GL;да
350;Ю1-3-4;Ю1-3-4;2 752.00;1.20;2 540.25;1.19;SAND;да
128PL;Ю1-3-4;Ю1-3-4;3 100.80;0.40;2 540.46;0.25;ALEVROLIT;да
343;Ю1-3-4;Ю1-3-4;2 674.00;3.60;2 540.50;3.59;SAND;да
309;Ю1-3-4;Ю1-3-4;2 717.40;2.00;2 540.70;1.99;ALEVROLIT;да
128PL;Ю1-3-4;Ю1-3-4;3 101.20;0.80;2 540.71;0.49;SAND_GL;да
341;Ю1-3-4;Ю1-3-4;2 707.40;0.60;2 540.80;0.60;DENSE;нет
188;Ю1-3-4;Ю1-3-4;3 054.60;0.40;2 540.82;0.40;SAND_GL;да
342;Ю1-3-4;Ю1-3-4;2 663.40;1.40;2 541.04;1.40;SAND_GL;да
361;Ю1-3-4;Ю1-3-4;2 735.60;3.80;2 541.09;3.80;SAND;да
175;Ю1-3-4;Ю1-3-4;3 276.80;1.60;2 541.11;1.60;SAND_GL;да
128PL;Ю1-3-4;Ю1-3-4;3 102.00;0.40;2 541.20;0.24;ALEVROLIT;да
334;Ю1-3-4;Ю1-3-4;2 759.40;0.60;2 541.20;0.60;DENSE;нет
188;Ю1-3-4;Ю1-3-4;3 055.00;0.40;2 541.22;0.39;ALEVROLIT;да
341;Ю1-3-4;Ю1-3-4;2 708.00;0.60;2 541.40;0.60;ALEVROLIT;да
128PL;Ю1-3-4;Ю1-3-4;3 102.40;1.60;2 541.44;0.99;SAND;да
350;Ю1-3-4;Ю1-3-4;2 753.20;0.60;2 541.44;0.60;ALEVROLIT;да
358;Ю1-3-4;Ю1-3-4;2 686.40;1.60;2 541.48;1.59;ALEVROLIT;да
103;Ю1-3-4;Ю1-3-4;2 895.00;7.40;2 541.53;7.38;ARGILLIT;нет
188;Ю1-3-4;Ю1-3-4;3 055.40;0.60;2 541.61;0.59;SAND;да
105;Ю1-3-4;Ю1-3-4;3 101.40;0.60;2 541.69;0.59;ALEVROLIT;да
334;Ю1-3-4;Ю1-3-4;2 760.00;1.00;2 541.80;1.00;SAND_GL;да
341;Ю1-3-4;Ю1-3-4;2 708.60;0.80;2 542.00;0.80;SAND_UPLOT;да
350;Ю1-3-4;Ю1-3-4;2 753.80;0.80;2 542.04;0.79;SAND_GL;да
102;Ю1-3-4;Ю1-3-4;2 792.80;2.20;2 542.13;2.20;ALEVROLIT;да
188;Ю1-3-4;Ю1-3-4;3 056.00;1.20;2 542.20;1.18;SAND;да
105;Ю1-3-4;Ю1-3-4;3 102.00;0.60;2 542.28;0.59;SAND_GL;да
128PL;Ю1-3-4;Ю1-3-4;3 104.00;0.60;2 542.43;0.37;ARGILLIT;нет
342;Ю1-3-4;Ю1-3-4;2 664.80;0.60;2 542.44;0.59;DENSE;нет
309;Ю1-3-4;Ю1-3-4;2 719.40;0.80;2 542.69;0.80;SAND_GL;да
175;Ю1-3-4;Ю1-3-4;3 278.40;0.60;2 542.71;0.60;ALEVROLIT;да
128PL;Ю1-3-4;Ю1-3-4;3 104.60;0.60;2 542.80;0.36;ALEVROLIT;да
334;Ю1-3-4;Ю1-3-4;2 761.00;2.40;2 542.80;2.39;ARGILLIT;нет
341;Ю1-3-4;Ю1-3-4;2 709.40;3.00;2 542.80;3.00;SAND;да
350;Ю1-3-4;Ю1-3-4;2 754.60;0.80;2 542.83;0.80;DENSE;нет
105;Ю1-3-4;Ю1-3-4;3 102.60;1.00;2 542.87;0.98;SAND_UPLOT;да
342;Ю1-3-4;Ю1-3-4;2 665.40;1.60;2 543.03;1.60;SAND;да
358;Ю1-3-4;Ю1-3-4;2 688.00;1.60;2 543.07;1.59;DENSE;нет
128PL;Ю1-3-4;Ю1-3-4;3 105.20;1.80;2 543.16;1.11;SAND_GL;да
318;Ю1-3-4;Ю1-3-4;2 770.00;1.00;2 543.23;0.97;ALEVROLIT;да
175;Ю1-3-4;Ю1-3-4;3 279.00;0.80;2 543.31;0.80;SAND_GL;да
188;Ю1-3-4;Ю1-3-4;3 057.20;1.00;2 543.38;0.98;SAND;да
309;Ю1-3-4;Ю1-3-4;2 720.20;1.00;2 543.49;1.00;SAND;да
350;Ю1-3-4;Ю1-3-4;2 755.40;0.60;2 543.63;0.59;ALEVROLIT;да
105;Ю1-3-4;Ю1-3-4;3 103.60;0.60;2 543.85;0.59;ALEVROLIT;да
343;Ю1-3-4;Ю1-3-4;2 677.60;0.60;2 544.09;0.60;ARGILLIT;нет
175;Ю1-3-4;Ю1-3-4;3 279.80;1.20;2 544.11;1.20;ALEVROLIT;да
318;Ю1-3-4;Ю1-3-4;2 771.00;0.60;2 544.20;0.58;ALEVROLIT;да
350;Ю1-3-4;Ю1-3-4;2 756.00;1.40;2 544.22;1.40;SAND_GL;да
128PL;Ю1-3-4;Ю1-3-4;3 107.00;3.60;2 544.27;2.21;DENSE;нет
102;Ю1-3-4;Ю1-3-4;2 795.00;3.20;2 544.33;3.20;SAND_GL;да
188;Ю1-3-4;Ю1-3-4;3 058.20;1.20;2 544.36;1.18;SAND;да
105;Ю1-3-4;Ю1-3-4;3 104.20;0.60;2 544.44;0.58;SAND;да
309;Ю1-3-4;Ю1-3-4;2 721.20;1.00;2 544.49;0.99;SAND;да
342;Ю1-3-4;Ю1-3-4;2 667.00;0.40;2 544.63;0.40;ALEVROLIT;да
358;Ю1-3-4;Ю1-3-4;2 689.60;1.00;2 544.66;1.00;SAND_GL;да
343;Ю1-3-4;Ю1-3-4;2 678.20;1.60;2 544.69;1.59;ALEVROLIT;да
318;Ю1-3-4;Ю1-3-4;2 771.60;0.60;2 544.78;0.58;ALEVROLIT;да
361;Ю1-3-4;Ю1-3-4;2 739.40;2.20;2 544.89;2.20;SAND_GL;да
105;Ю1-3-4;Ю1-3-4;3 104.80;0.60;2 545.02;0.59;ALEVROLIT;да
342;Ю1-3-4;Ю1-3-4;2 667.40;1.60;2 545.03;1.60;SAND;да
334;Ю1-3-4;Ю1-3-4;2 763.40;1.00;2 545.19;1.00;ALEVROLIT;да
175;Ю1-3-4;Ю1-3-4;3 281.00;1.40;2 545.31;1.40;SAND;да
318;Ю1-3-4;Ю1-3-4;2 772.20;1.00;2 545.36;0.96;ALEVROLIT;да
309;Ю1-3-4;Ю1-3-4;2 722.20;1.00;2 545.48;1.00;SAND;да
188;Ю1-3-4;Ю1-3-4;3 059.40;0.80;2 545.54;0.79;DENSE;нет
105;Ю1-3-4;Ю1-3-4;3 105.40;0.40;2 545.61;0.39;SAND_GL;да
350;Ю1-3-4;Ю1-3-4;2 757.40;0.40;2 545.62;0.39;ALEVROLIT;да
358;Ю1-3-4;Ю1-3-4;2 690.60;0.80;2 545.66;0.79;ALEVROLIT;да
341;Ю1-3-4;Ю1-3-4;2 712.40;0.80;2 545.80;0.79;ALEVROLIT;да
105;Ю1-3-4;Ю1-3-4;3 105.80;0.60;2 546.00;0.59;ALEVROLIT;да
350;Ю1-3-4;Ю1-3-4;2 757.80;1.00;2 546.01;1.00;SAND_GL;да
334;Ю1-3-4;Ю1-3-4;2 764.40;2.00;2 546.19;2.00;ARGILLIT;нет
343;Ю1-3-4;Ю1-3-4;2 679.80;0.60;2 546.28;0.60;ARGILLIT;нет
318;Ю1-3-4;Ю1-3-4;2 773.20;1.40;2 546.32;1.35;SAND_GL;да
188;Ю1-3-4;Ю1-3-4;3 060.20;0.60;2 546.33;0.59;NYA_KOLLEKTOR;да
353;Ю1-3-4;Ю1-3-4;2 720.00;3.80;2 546.35;3.78;SAND_GL;да
215;Ю1-3-4;Ю1-3-4;3 303.80;0.60;2 546.43;0.59;ARGILLIT;нет
358;Ю1-3-4;Ю1-3-4;2 691.40;1.00;2 546.45;1.00;SAND;да
128PL;Ю1-3-4;Ю1-3-4;3 110.60;0.40;2 546.48;0.25;ALEVROLIT;да
309;Ю1-3-4;Ю1-3-4;2 723.20;0.40;2 546.48;0.40;ALEVROLIT;да
105;Ю1-3-4;Ю1-3-4;3 106.40;1.00;2 546.59;0.98;DENSE;нет
341;Ю1-3-4;Ю1-3-4;2 713.20;0.80;2 546.59;0.80;DENSE;нет
331;Ю1-3-4;Ю1-3-4;2 875.40;0.60;2 546.60;0.60;ALEVROLIT;да
342;Ю1-3-4;Ю1-3-4;2 669.00;1.00;2 546.63;1.00;SAND;да
175;Ю1-3-4;Ю1-3-4;3 282.40;2.20;2 546.71;2.20;SAND_GL;да
128PL;Ю1-3-4;Ю1-3-4;3 111.00;0.80;2 546.73;0.49;SAND;да
309;Ю1-3-4;Ю1-3-4;2 723.60;0.80;2 546.88;0.80;SAND;да
343;Ю1-3-4;Ю1-3-4;2 680.40;2.80;2 546.88;2.79;SAND_GL;да
188;Ю1-3-4;Ю1-3-4;3 060.80;0.60;2 546.92;0.59;DENSE;нет
350;Ю1-3-4;Ю1-3-4;2 758.80;1.60;2 547.01;1.59;ALEVROLIT;да
215;Ю1-3-4;Ю1-3-4;3 304.40;0.60;2 547.02;0.59;ALEVROLIT;да
361;Ю1-3-4;Ю1-3-4;2 741.60;1.20;2 547.09;1.20;DENSE;нет
331;Ю1-3-4;Ю1-3-4;2 876.00;1.00;2 547.20;0.99;ALEVROLIT;да
128PL;Ю1-3-4;Ю1-3-4;3 111.80;0.60;2 547.22;0.37;ALEVROLIT;да
341;Ю1-3-4;Ю1-3-4;2 714.00;0.80;2 547.39;0.80;SAND;да
358;Ю1-3-4;Ю1-3-4;2 692.40;0.60;2 547.45;0.60;ALEVROLIT;да
188;Ю1-3-4;Ю1-3-4;3 061.40;0.40;2 547.51;0.39;SAND_UPLOT;да
141;Ю1-3-4;Ю1-3-4;3 110.00;0.60;2 547.52;0.58;ARGILLIT;нет
102;Ю1-3-4;Ю1-3-4;2 798.20;1.00;2 547.53;1.00;DENSE;нет
105;Ю1-3-4;Ю1-3-4;3 107.40;0.40;2 547.57;0.39;ALEVROLIT;да
128PL;Ю1-3-4;Ю1-3-4;3 112.40;2.20;2 547.59;1.35;SAND_GL;да
215;Ю1-3-4;Ю1-3-4;3 305.00;1.00;2 547.61;0.98;ALEVROLIT;да
342;Ю1-3-4;Ю1-3-4;2 670.00;0.80;2 547.63;0.80;SAND;да
318;Ю1-3-4;Ю1-3-4;2 774.60;0.60;2 547.67;0.58;ALEVROLIT;да
309;Ю1-3-4;Ю1-3-4;2 724.40;0.40;2 547.68;0.40;DENSE;нет
188;Ю1-3-4;Ю1-3-4;3 061.80;0.40;2 547.90;0.39;ALEVROLIT;да
105;Ю1-3-4;Ю1-3-4;3 107.80;1.20;2 547.96;1.18;SAND_GL;да
304;Ю1-3-4;Ю1-3-4;3 290.60;0.80;2 548.05;0.77;ARGILLIT;нет
358;Ю1-3-4;Ю1-3-4;2 693.00;0.60;2 548.05;0.60;SAND_GL;да
309;Ю1-3-4;Ю1-3-4;2 724.80;0.60;2 548.08;0.59;ALEVROLIT;да
141;Ю1-3-4;Ю1-3-4;3 110.60;1.40;2 548.10;1.34;ALEVROLIT;да
331;Ю1-3-4;Ю1-3-4;2 877.00;0.80;2 548.19;0.79;ALEVROLIT;да
334;Ю1-3-4;Ю1-3-4;2 766.40;0.80;2 548.19;0.80;ALEVROLIT;да
341;Ю1-3-4;Ю1-3-4;2 714.80;0.80;2 548.19;0.80;SAND;да
318;Ю1-3-4;Ю1-3-4;2 775.20;0.80;2 548.25;0.78;ALEVROLIT;да
143;Ю1-3-4;Ю1-3-4;2 916.00;1.40;2 548.27;1.40;ARGILLIT;нет
188;Ю1-3-4;Ю1-3-4;3 062.20;0.60;2 548.29;0.60;SAND;да
361;Ю1-3-4;Ю1-3-4;2 742.80;1.80;2 548.29;1.80;SAND_GL;да
124PL;Ю1-3-4;Ю1-3-4;3 062.80;1.40;2 548.30;0.75;SAND_SL_PR;да
149;Ю1-3-4;Ю1-3-4;3 324.20;0.60;2 548.42;0.58;ARGILLIT;нет
342;Ю1-3-4;Ю1-3-4;2 670.80;0.60;2 548.43;0.60;ALEVROLIT;да
102;Ю1-3-4;Ю1-3-4;2 799.20;1.20;2 548.53;1.20;ALEVROLIT;да
215;Ю1-3-4;Ю1-3-4;3 306.00;0.80;2 548.59;0.79;SAND;да
350;Ю1-3-4;Ю1-3-4;2 760.40;0.60;2 548.60;0.59;DENSE;нет
358;Ю1-3-4;Ю1-3-4;2 693.60;1.00;2 548.65;0.99;ALEVROLIT;да
309;Ю1-3-4;Ю1-3-4;2 725.40;0.60;2 548.67;0.60;DENSE;нет
100;Ю1-3-4;Ю1-3-4;2 709.40;1.00;2 548.81;1.00;COAL;нет
304;Ю1-3-4;Ю1-3-4;3 291.40;1.20;2 548.82;1.16;ARGILLIT;нет
188;Ю1-3-4;Ю1-3-4;3 062.80;0.60;2 548.89;0.59;SAND;да
360;Ю1-3-4;Ю1-3-4;2 722.60;0.40;2 548.89;0.40;ALEVROLIT;да
357;Ю1-3-4;Ю1-3-4;2 854.00;2.60;2 548.90;2.54;ARGILLIT;нет
103;Ю1-3-4;Ю1-3-4;2 902.40;1.60;2 548.91;1.60;ALEVROLIT;да
175;Ю1-3-4;Ю1-3-4;3 284.60;0.60;2 548.91;0.60;DENSE;нет
128PL;Ю1-3-4;Ю1-3-4;3 114.60;1.20;2 548.94;0.74;SAND;да
331;Ю1-3-4;Ю1-3-4;2 877.80;0.80;2 548.98;0.79;DENSE;нет
334;Ю1-3-4;Ю1-3-4;2 767.20;1.40;2 548.99;1.39;ARGILLIT;нет
341;Ю1-3-4;Ю1-3-4;2 715.60;0.60;2 548.99;0.60;ALEVROLIT;да
149;Ю1-3-4;Ю1-3-4;3 324.80;0.60;2 549.00;0.58;ARGILLIT;нет
318;Ю1-3-4;Ю1-3-4;2 776.00;1.20;2 549.03;1.16;DENSE;нет
342;Ю1-3-4;Ю1-3-4;2 671.40;0.80;2 549.03;0.80;DENSE;нет
124PL;Ю1-3-4;Ю1-3-4;3 064.20;1.00;2 549.05;0.53;ALEVROLIT;да
105;Ю1-3-4;Ю1-3-4;3 109.00;2.80;2 549.14;2.74;ARGILLIT;нет
350;Ю1-3-4;Ю1-3-4;2 761.00;0.80;2 549.19;0.80;DENSE;нет
309;Ю1-3-4;Ю1-3-4;2 726.00;0.80;2 549.27;0.80;ALEVROLIT;да
360;Ю1-3-4;Ю1-3-4;2 723.00;0.40;2 549.29;0.40;DENSE;нет
215;Ю1-3-4;Ю1-3-4;3 306.80;0.60;2 549.38;0.59;ALEVROLIT;да
141;Ю1-3-4;Ю1-3-4;3 112.00;1.00;2 549.44;0.96;ALEVROLIT;да
188;Ю1-3-4;Ю1-3-4;3 063.40;1.00;2 549.48;0.98;SAND;да
135;Ю1-3-4;Ю1-3-4;2 953.00;6.60;2 549.50;6.52;ARGILLIT;нет
299R;Ю1-3-4;Ю1-3-4;2 668.80;1.30;2 549.50;1.30;ALEVROLIT;да
175;Ю1-3-4;Ю1-3-4;3 285.20;0.60;2 549.51;0.60;SAND_GL;да
124PL;Ю1-3-4;Ю1-3-4;3 065.20;0.80;2 549.58;0.43;NYA_KOLLEKTOR;да
149;Ю1-3-4;Ю1-3-4;3 325.40;0.90;2 549.58;0.88;ALEVROLIT;да
341;Ю1-3-4;Ю1-3-4;2 716.20;0.60;2 549.59;0.60;SAND;да
358;Ю1-3-4;Ю1-3-4;2 694.60;0.60;2 549.64;0.60;DENSE;нет
143;Ю1-3-4;Ю1-3-4;2 917.40;1.40;2 549.67;1.40;SAND_GL;да
343;Ю1-3-4;Ю1-3-4;2 683.20;1.60;2 549.67;1.60;DENSE;нет
128PL;Ю1-3-4;Ю1-3-4;3 115.80;1.60;2 549.68;0.98;DENSE;нет
360;Ю1-3-4;Ю1-3-4;2 723.40;0.40;2 549.69;0.40;SAND_GL;да
102;Ю1-3-4;Ю1-3-4;2 800.40;1.20;2 549.73;1.20;SAND_UPLOT;да
136;Ю1-3-4;Ю1-3-4;2 905.00;1.80;2 549.73;1.77;ALEVROLIT;да
331;Ю1-3-4;Ю1-3-4;2 878.60;0.80;2 549.77;0.80;SAND_SL_PR;да
351;Ю1-3-4;Ю1-3-4;2 685.60;1.00;2 549.77;1.00;ALEVROLIT;да
100;Ю1-3-4;Ю1-3-4;2 710.40;0.80;2 549.81;0.80;ARGILLIT;нет
342;Ю1-3-4;Ю1-3-4;2 672.20;0.80;2 549.83;0.80;SAND_GL;да
215;Ю1-3-4;Ю1-3-4;3 307.40;1.00;2 549.97;0.98;SAND;да
304;Ю1-3-4;Ю1-3-4;3 292.60;1.00;2 549.98;0.96;ALEVROLIT;да
350;Ю1-3-4;Ю1-3-4;2 761.80;3.00;2 549.99;2.97;SAND_GL;да
142;Ю1-3-4;Ю1-3-4;2 752.00;0.60;2 550.00;0.60;ARGILLIT;нет
124PL;Ю1-3-4;Ю1-3-4;3 066.00;2.20;2 550.01;1.17;ARGILLIT;нет
309;Ю1-3-4;Ю1-3-4;2 726.80;1.40;2 550.07;1.40;SAND;да
360;Ю1-3-4;Ю1-3-4;2 723.80;0.60;2 550.09;0.60;ALEVROLIT;да
361;Ю1-3-4;Ю1-3-4;2 744.60;1.80;2 550.09;1.79;SAND_GL;да
175;Ю1-3-4;Ю1-3-4;3 285.80;0.60;2 550.11;0.60;DENSE;нет
353;Ю1-3-4;Ю1-3-4;2 723.80;0.60;2 550.13;0.60;ALEVROLIT;да
318;Ю1-3-4;Ю1-3-4;2 777.20;1.40;2 550.19;1.35;ALEVROLIT;да
341;Ю1-3-4;Ю1-3-4;2 716.80;0.60;2 550.19;0.60;SAND;да
358;Ю1-3-4;Ю1-3-4;2 695.20;0.40;2 550.24;0.40;ALEVROLIT;да
205;Ю1-3-4;Ю1-3-4;2 886.00;0.60;2 550.27;0.60;ALEVROLIT;да
334;Ю1-3-4;Ю1-3-4;2 768.60;1.00;2 550.38;1.00;ALEVROLIT;да
141;Ю1-3-4;Ю1-3-4;3 113.00;0.60;2 550.40;0.58;ALEVROLIT;да
149;Ю1-3-4;Ю1-3-4;3 326.30;0.70;2 550.46;0.68;ALEVROLIT;да
188;Ю1-3-4;Ю1-3-4;3 064.40;1.00;2 550.46;0.98;SAND;да
103;Ю1-3-4;Ю1-3-4;2 904.00;0.80;2 550.51;0.80;ARGILLIT;нет
331;Ю1-3-4;Ю1-3-4;2 879.40;1.60;2 550.57;1.58;DENSE;нет
203;Ю1-3-4;Ю1-3-4;2 947.40;0.60;2 550.58;0.60;SAND_GL;да
142;Ю1-3-4;Ю1-3-4;2 752.60;0.40;2 550.60;0.40;ALEVROLIT;да
100;Ю1-3-4;Ю1-3-4;2 711.20;2.00;2 550.61;2.00;ALEVROLIT;да
342;Ю1-3-4;Ю1-3-4;2 673.00;1.20;2 550.63;1.20;SAND_GL;да
358;Ю1-3-4;Ю1-3-4;2 695.60;0.60;2 550.64;0.60;DENSE;нет
128PL;Ю1-3-4;Ю1-3-4;3 117.40;2.20;2 550.66;1.35;SAND_GL;да
360;Ю1-3-4;Ю1-3-4;2 724.40;1.20;2 550.69;1.19;SAND_GL;да
175;Ю1-3-4;Ю1-3-4;3 286.40;1.00;2 550.71;1.00;SAND;да
353;Ю1-3-4;Ю1-3-4;2 724.40;2.60;2 550.73;2.59;SAND_GL;да
351;Ю1-3-4;Ю1-3-4;2 686.60;0.80;2 550.77;0.80;SAND_GL;да
222;Ю1-3-4;Ю1-3-4;3 367.80;2.00;2 550.79;2.00;SAND_GL;да
341;Ю1-3-4;Ю1-3-4;2 717.40;0.40;2 550.79;0.39;DENSE;нет
299R;Ю1-3-4;Ю1-3-4;2 670.10;1.90;2 550.80;1.90;ARGILLIT;нет
205;Ю1-3-4;Ю1-3-4;2 886.60;1.40;2 550.87;1.40;SAND_GL;да
378;Ю1-3-4;Ю1-3-4;2 981.40;1.60;2 550.90;1.56;ARGILLIT;нет
102;Ю1-3-4;Ю1-3-4;2 801.60;1.20;2 550.93;1.20;SAND;да
304;Ю1-3-4;Ю1-3-4;3 293.60;2.80;2 550.94;2.71;SAND_GL;да
215;Ю1-3-4;Ю1-3-4;3 308.40;0.40;2 550.95;0.40;SAND;да
141;Ю1-3-4;Ю1-3-4;3 113.60;1.20;2 550.98;1.15;ALEVROLIT;да
142;Ю1-3-4;Ю1-3-4;2 753.00;0.60;2 551.00;0.60;ALEVROLIT;да
364;Ю1-3-4;Ю1-3-4;3 060.00;1.20;2 551.04;1.17;SAND;да
143;Ю1-3-4;Ю1-3-4;2 918.80;0.80;2 551.07;0.80;ALEVROLIT;да
149;Ю1-3-4;Ю1-3-4;3 327.00;0.60;2 551.14;0.58;ALEVROLIT;да
124PL;Ю1-3-4;Ю1-3-4;3 068.20;11.00;2 551.18;10.16;NYA_KOLLEKTOR;да
203;Ю1-3-4;Ю1-3-4;2 948.00;0.60;2 551.18;0.60;DENSE;нет
341;Ю1-3-4;Ю1-3-4;2 717.80;1.80;2 551.18;1.80;SAND;да
358;Ю1-3-4;Ю1-3-4;2 696.20;1.60;2 551.24;1.59;SAND;да
343;Ю1-3-4;Ю1-3-4;2 684.80;1.80;2 551.27;1.80;ALEVROLIT;да
103;Ю1-3-4;Ю1-3-4;2 904.80;1.00;2 551.31;0.99;SAND_UPLOT;да
215;Ю1-3-4;Ю1-3-4;3 308.80;0.60;2 551.35;0.59;ALEVROLIT;да
188;Ю1-3-4;Ю1-3-4;3 065.40;0.40;2 551.44;0.40;ALEVROLIT;да
357;Ю1-3-4;Ю1-3-4;2 856.60;1.40;2 551.44;1.37;SAND_GL;да
309;Ю1-3-4;Ю1-3-4;2 728.20;0.60;2 551.47;0.59;SAND_GL;да
136;Ю1-3-4;Ю1-3-4;2 906.80;1.40;2 551.50;1.38;SAND;да
318;Ю1-3-4;Ю1-3-4;2 778.60;0.40;2 551.54;0.38;DENSE;нет
351;Ю1-3-4;Ю1-3-4;2 687.40;2.20;2 551.57;2.20;ALEVROLIT;да
142;Ю1-3-4;Ю1-3-4;2 753.60;0.80;2 551.60;0.79;ALEVROLIT;да
441ST2;Ю1-3-4;Ю1-3-4;2 954.20;0.40;2 551.64;0.40;ALEVROLIT;да
175;Ю1-3-4;Ю1-3-4;3 287.40;0.40;2 551.71;0.40;ALEVROLIT;да
149;Ю1-3-4;Ю1-3-4;3 327.60;0.60;2 551.72;0.59;DENSE;нет
323;Ю1-3-4;Ю1-3-4;2 802.20;1.00;2 551.72;1.00;ALEVROLIT;да
