Param;Mae
R14;0.112529381
GZ4;0.112652418
GZ7;0.116333787
MRES;0.117183926
PHIT;0.118025488
R20;0.118777882
F14;0.118977081
F10;0.121017114
GZ1;0.121901115
F07;0.121995652
R10;0.122877536
PROX;0.126413043
R07;0.127729089
GZ2;0.127804009
F20;0.132196636
KPS;0.133848584
GZ3;0.134087854
F05;0.134426087
LLD;0.135132927
SG;0.135387707
GZ5;0.136884671
KINT;0.137984455
KGL;0.139830205
SXWB;0.142700208
CILD;0.142881997
NPHI;0.14305956
APS;0.15302016
R05;0.153899846
