Param;Result
KINT;0.17391304347826086
R05;0.15217391304347827
R20;0.15217391304347827
R14;0.15217391304347827
R10;0.2608695652173913
F07;0.21739130434782608
F10;0.1956521739130435
F14;0.2391304347826087
R07;0.1956521739130435
F20;0.30434782608695654
F05;0.15217391304347827
PHIT;0.2
MRES;0.17777777777777778
SG;0.2
KGL;0.24444444444444444
SXWB;0.28888888888888886
GZ3;0.17391304347826086
NPHI;0.17777777777777778
GZ2;0.1956521739130435
GZ4;0.21739130434782608
GZ1;0.21739130434782608
CILD;0.06521739130434782
PROX;0.13043478260869565
LLD;0.21739130434782608
GZ7;0.41304347826086957
APS;0.06976744186046512
KPS;0.20930232558139536
GZ5;0.15217391304347827
